id_transaccion,id_cliente,nombre_cliente,cuenta_origen,fecha,monto,divisa,tipo_transaccion,ciudad,cuenta_destino,categoria_comercio
1,2783,Philip Knight,ES72380307822087479772,13/09/2025,31551.32,USD,transferencia,Queretaro,ES19946920183191759474,
2,3696,William Harmon,ES74956814146097211403,16/09/2025,36889.11,MXN,retiro,Juarez,,
3,6403,Amanda Lewis,ES94278160534459740595,04/07/2025,30644.1,MXN,retiro,Paris,,
4,1156,Victoria Burton,ES18259905541180196560,06/09/2025,7869.29,USD,retiro,Juarez,,
5,2653,Todd Young,ES59522414203568104424,03/04/2025,37940.37,MXN,retiro,Puebla,,
6,4482,David Boyd,ES73374146610236175640,05/05/2025,40211.01,USD,compra,Monterrey,,restaurante
7,5626,Lisa Jackson,ES12648756717578627874,12/06/2025,132.42,EUR,transferencia,Queretaro,ES21250734365314750679,
8,3409,Ryan Aguilar,ES41782326660691516185,30/05/2025,36723.02,USD,compra,Juarez,,restaurante
9,6669,Barbara Davis,ES10770301622437194931,28/08/2025,41811.1,EUR,transferencia,Merida,ES32533519872846861209,
10,4636,Robert Estrada,ES60165010939030625560,15/05/2025,37271.83,MXN,transferencia,Puebla,ES39854327435651392681,
11,4245,Sherri West,ES13670691993856903476,12/08/2025,37072.05,USD,compra,Juarez,,restaurante
12,7657,Vincent Adams,ES75244429530637829860,12/05/2025,35360.16,EUR,transferencia,Leon,ES89202985922603674720,
13,1930,Logan Hampton,ES64317883634875652106,16/05/2025,48471.27,MXN,transferencia,Monterrey,ES44129143305061911395,
14,4819,Bethany Rich PhD,ES72793868836071840791,09/05/2025,48485.84,EUR,compra,Queretaro,,restaurante
15,2946,Nicholas Nelson,ES15569806875798934416,22/09/2025,16374.52,MXN,retiro,Merida,,
16,9721,Jennifer Gonzalez,ES66631641559688995990,05/08/2025,20595.72,MXN,retiro,Juarez,,
17,7980,Kenneth Young,ES56324307404472433024,18/07/2025,41277.81,EUR,compra,Monterrey,,servicios
18,8790,Michael Chandler,ES72946511139239440595,04/04/2025,3198.27,MXN,transferencia,Juarez,ES72778522604925312031,
19,6730,Sheila Mclaughlin,ES81321789802985420767,04/09/2025,49904.69,EUR,retiro,Torreon,,
20,6999,Paula Guerrero,ES15428610723975547919,29/04/2025,27703.88,MXN,compra,Monterrey,,viajes
21,9894,Julie Wright,ES73426890662482671705,19/04/2025,49727.53,USD,retiro,Tijuana,,
22,6200,Sara Hayes,ES87715058744226080998,25/07/2025,4282.67,USD,retiro,Madrid,,
23,8421,Mr. Brian Burch DDS,ES67038340143842803875,30/07/2025,18912.6,USD,transferencia,Monterrey,ES13493768938339466909,
24,2067,Angela Frank MD,ES49047275139688196926,30/05/2025,5269.24,EUR,retiro,CDMX,,
25,4270,Janet Ford,ES64663253589471584803,19/04/2025,27397.29,EUR,transferencia,Torreon,ES41038329987402609794,
26,6475,Daniel Miller,ES96759823180697256676,04/06/2025,36464.09,MXN,retiro,Tijuana,,
27,5188,Amanda Collins,ES46272349361502136246,14/07/2025,19348.9,EUR,transferencia,Monterrey,ES10508026304098287166,
28,4920,Aaron Moreno,ES91672010466992444883,22/08/2025,16066.46,EUR,compra,Torreon,,tecnologia
29,9272,Pam Taylor,ES90674807491871561045,19/09/2025,27728.38,EUR,transferencia,Torreon,ES72603946508710959883,
30,3314,Margaret Fox,ES62393297837792020694,15/09/2025,39122.25,EUR,transferencia,Queretaro,ES89303705442163607404,
31,8086,Charles Miller,ES10013043720101389040,31/07/2025,4432.74,MXN,retiro,Queretaro,,
32,3428,Lauren Mclaughlin,ES97122651009831909849,14/07/2025,35795.06,MXN,compra,CDMX,,tecnologia
33,9435,Katie Blackburn,ES82814956667256145077,25/05/2025,48154.88,MXN,compra,CDMX,,tecnologia
34,7890,Julie Rocha,ES86156280758333998635,04/05/2025,48686.98,USD,compra,Guadalajara,,ropa
35,2683,Melissa Roberts,ES29917890452993118836,09/09/2025,32549.52,USD,transferencia,Leon,ES40429854758087088580,
36,8792,Jeremy Fisher,ES34684193821702184139,16/05/2025,49251.59,MXN,compra,Guadalajara,,ropa
37,3890,David Ware,ES90503821769023652642,15/05/2025,16506.64,MXN,retiro,Monterrey,,
38,8208,Bryce Jackson,ES73138145276929119497,01/05/2025,2723.59,EUR,transferencia,Juarez,ES48334672910633881588,
39,4047,Carolyn Adams,ES86152593421993940889,28/04/2025,33327.44,MXN,compra,Guadalajara,,servicios
40,7319,Michael Ford,ES68130754510854226325,24/04/2025,22403.91,USD,retiro,Torreon,,
41,3510,Gina Gardner,ES51225375592499252339,23/08/2025,8315.51,MXN,retiro,Queretaro,,
42,1918,Kirsten Blackburn,ES87608324790459827072,27/07/2025,11811.57,EUR,transferencia,Merida,ES82842676134163376934,
43,6407,Stephanie Hart,ES42729775401934730866,29/08/2025,43257.93,EUR,compra,Guadalajara,,restaurante
44,1288,Jordan Edwards,ES85011170499350897774,03/08/2025,25166.4,USD,compra,Queretaro,,viajes
45,9035,James Jones,ES68959824547565244867,31/08/2025,6109.8,MXN,compra,Tijuana,,tecnologia
46,9599,Michael Holden,ES70217971948706619703,15/04/2025,49728.79,EUR,retiro,Leon,,
47,8249,Tiffany Barron,ES84267777962861347541,17/04/2025,41458.52,EUR,retiro,Guadalajara,,
48,9824,Taylor Sandoval,ES62397677481743035550,18/09/2025,41041.42,USD,retiro,Puebla,,
49,9888,Edgar Watkins,ES99641208602512439408,09/09/2025,35519.51,MXN,transferencia,CDMX,ES87589414188348127975,
50,3941,Haley Rangel,ES27987297755827555052,30/05/2025,21073.06,USD,transferencia,Merida,ES35348920584945262177,
51,5268,Jennifer Rodriguez,ES45357681681874429781,16/04/2025,26102.09,EUR,compra,Juarez,,supermercado
52,1067,James Scott,ES69857051206261789505,06/05/2025,994.11,USD,transferencia,Juarez,ES41585492321175594321,
53,7485,George Hart,ES36629486840110056826,10/05/2025,5179.48,MXN,compra,Tijuana,,tecnologia
54,9211,Jordan Conway,ES99791469150096617323,28/06/2025,7398.32,EUR,transferencia,Guadalajara,ES86088295019338528255,
55,9397,Mark Finley,ES31977811738549538053,07/09/2025,44472.65,EUR,retiro,Juarez,,
56,5053,Kayla Burke,ES94833307725137627880,28/08/2025,30300.48,EUR,compra,Torreon,,ropa
57,2148,Andrea Garza,ES37381237314868090089,18/06/2025,10368.56,MXN,retiro,Merida,,
58,4112,Richard Hayes,ES75430121905952754825,23/09/2025,17287.26,MXN,transferencia,CDMX,ES33974875638712183761,
59,7406,Krista Lambert,ES31395107964176254642,21/09/2025,16369.95,USD,transferencia,Torreon,ES61107676832875845283,
60,5854,Mr. David Rogers V,ES60184556418409645634,07/08/2025,44750.1,USD,retiro,Monterrey,,
61,2042,Teresa Hudson,ES49247521213148589283,23/05/2025,11003.44,USD,compra,Torreon,,restaurante
62,7242,Andrew Young,ES47760648664547554380,19/06/2025,10952.97,MXN,retiro,Puebla,,
63,1007,Margaret Walker,ES83849379314132877984,09/05/2025,2639.44,USD,transferencia,Monterrey,ES18081452858197594680,
64,9982,John Cantu Jr.,ES96467442601631932543,15/06/2025,7778.23,MXN,compra,Leon,,ropa
65,6463,Jasmine Gilmore,ES32343186134798041171,08/05/2025,11910.19,USD,retiro,Guadalajara,,
66,4036,Marissa Suarez,ES10979150550272132913,28/07/2025,23529.37,MXN,compra,Guadalajara,,supermercado
67,3036,Ian Smith,ES82349255866666491778,16/05/2025,9861.27,USD,compra,Guadalajara,,servicios
68,8967,Elizabeth Montoya,ES99996296321129458819,18/09/2025,24365.62,MXN,transferencia,Guadalajara,ES96369823545277568836,
